iter	Passed	Remaining
0	293	58404
1	519	51430
2	724	47562
3	897	43982
4	1092	42613
5	1274	41207
6	1477	40730
7	1598	3836888	1747	3708599	1925	36583110	2123	36488111	2272	35598112	2399	3452113	2556	33959
14	2713	33471
15	2895	33299
116	3034	32667117	3231	32677118	3456	32930
19	3690	33215
20	3845	32778
21	4039	32683
22	4195	32286
23	4359	31972
24	4551	31858
25	4714	31550
26	4885	31301
27	5055	31055
28	5188	30595
29	5344	30286
30	5487	29914
31	5650	29665
32	5791	29309
33	5960	29101
34	6160	29043
35	6388	29101
36	6582	28996
37	6821	29083
38	6998	28892
39	7181	28725
40	7291	28276
41	7441	27993
42	7614	27801
43	7807	27681
44	8035	27676
45	8239	27583
46	8414	27390
47	8649	27391
48	8838	27237
49	9025	27076
50	9165	26776
51	9434	26851
52	9641	26741
53	9817	26544
54	9990	26339
55	10183	26185
56	10378	26038
57	10590	25928
58	10748	25686
59	10916	25472
60	11155	25420
61	11371	25311
62	11636	25305
63	11844	25169
64	12030	24986
65	12164	24698
66	12297	24411
67	12542	24346
68	12732	24173
69	12880	23921
70	13136	23867
71	13334	23706
72	13502	23490
73	13691	23312
74	13847	23079
75	14033	22897
76	14211	22701
77	14431	22572
78	14662	22457
79	14868	22303
80	15064	22132
81	15396	22156
82	15768	22227
83	16031	22138
84	16359	22133
85	16743	22194
86	17087	22194
87	17458	22219
88	17742	22127
89	18037	22046
90	18231	21837
91	18487	21702
92	18738	21559
93	19067	21501
94	19263	21291
95	19421	21039
96	19581	20793
97	19723	20528
98	19873	20274
99	20027	20027
100	20197	19797
101	20375	19576
102	20515	19320
103	20664	19074
104	20806	18824
105	20971	18597
106	21138	18372
107	21320	18161
108	21491	17942
109	21641	17706
110	21787	17469
111	21978	17268
112	22134	17041
113	22303	16825
114	22457	16599
115	22618	16378
116	22759	16145
117	22936	15939
118	23076	15707
119	23256	15504
120	23414	15287
121	23580	15075
122	23735	14858
123	23904	14651
124	24083	14449
125	24216	14222
126	24350	13996
127	24501	13782
128	24641	13562
129	24751	13327
130	24883	13106
131	24984	12870
132	25085	12637
133	25203	12413
134	25314	12188
135	25414	11959
136	25501	11726
137	25629	11514
138	25734	11293
139	25839	11073
140	25979	10870
141	26105	10662
142	26219	10451
143	26331	10240
144	26432	10025
145	26541	9816
146	26653	9609
147	26765	9404
148	26875	9199
149	27003	9001
150	27095	8792
151	27202	8590
152	27317	8391
153	27417	8189
154	27527	7991
155	27630	7793
156	27727	7594
157	27850	7403
158	27950	7207
159	28044	7011
160	28145	6817
161	28247	6625
162	28344	6434
163	28423	6239
164	28507	6047
165	28637	5865
166	28754	5682
167	28863	5497
168	28980	5315
169	29095	5134
170	29181	4948
171	29272	4765
172	29386	4586
173	29472	4403
174	29603	4229
175	29718	4052
176	29825	3875
177	29889	3694
178	29938	3512
179	29985	3331
180	30028	3152
181	30072	2974
182	30113	2797
183	30161	2622
184	30209	2449
185	30254	2277
186	30300	2106
187	30344	1936
188	30386	1768
189	30433	1601
190	30474	1435
191	30517	1271
192	30564	1108
193	30614	946
194	30654	786
195	30701	626
196	30749	468
197	30796	311
198	30845	155
199	30893	0
